"variable","importance"
"CT_unemployment_rate_trend_slag",74.239509817939
"CT_married_pct_2021_slag",69.683838363636
"bar_lounge22_slag",65.4811619515738
"food_retail12_slag",65.1962612316208
"CT_unemployment_rate_abschange_slag",57.5971174121367
"CT_unemployment_rate_2001_slag",53.1556889641283
"CT_shelter_pct_abschange_slag",38.6428615528297
"food_retail25_slag",37.5509343183992
"food_retail10_slag",37.1250533896512
"CT_renters_pct_abschange_slag",30.9026735347131
"food_retail20_slag",30.1785555449328
"food_retail24_slag",27.4348052974642
"food_retail11_slag",26.7906466021645
"food_retail25",26.5140316417536
"food_retail16_slag",25.5969990629636
"food_retail17_slag",23.3243797277176
"food_retail18_slag",22.3310794737679
"CT_unemployment_rate_2011_slag",22.072494466442
"food_retail21_slag",21.5523524489008
"CT_renters_pct_trend_slag",21.5288468099401
"CT_aboriginal_pct_trend",21.5167175478675
"food_retail14_slag",21.4606570762872
"CT_movers_1yr_pct_2021",20.9701756707625
"food_retail06_slag",20.7577847059414
"CT_shelter_pct_trend_slag",20.4293840079757
"food_retail15_slag",20.3219161625175
"food_retail02_slag",19.5331822168402
"CT_married_pct_2016_slag",19.3834638606048
"food_retail19_slag",19.121839385862
"food_retail22_slag",18.7212089548146
"bar_lounge19",18.6916131121971
"food_retail04_slag",18.5700140531136
"food_retail09_slag",18.0028350155667
"CT_married_pct_2006_slag",17.2711332211722
"CT_med_income_ln_2006",17.1004830945305
"CT_married_pct_2001_slag",16.6227033015964
"food_retail01_slag",16.5802406331812
"bar_lounge11",16.3162532417952
"CT_shelter_pct_2001_slag",15.8757513387771
"bar_lounge10",15.8035773989489
"food_retail08_slag",15.1534970998008
"bar_lounge23",14.9448142123415
"CT_avg_dwelling_ln_2001_slag",14.3608422418046
"food_retail23_slag",13.6462172104114
"CT_movers_1yr_pct_abschange_slag",13.4821522088363
"food_retail12",13.4779680709816
"bar_lounge14",13.4466759490559
"CT_apt_5plus_ln_2021",13.4081486357991
"CT_movers_1yr_pct_2006",13.3861742341208
"CT_married_pct_2021",13.3153849604825
"CT_unemployment_rate_2006_slag",13.2637711911783
"CT_shelter_pct_trend",13.1191726317095
"CT_married_pct_2001",12.9511531439282
"food_retail16",12.7216756604015
"food_retail14",12.6996281039095
"CT_renters_pct_2001",12.2934559945447
"food_retail03_slag",12.0137017793982
"fast_food11_slag",11.9558006706368
"CT_unemployment_rate_2001",11.9370439919431
"bar_lounge24",11.8495724318695
"restaurant22",11.5016630547076
"weighted_diversity_18_slag",11.4213933152427
"food_retail03",11.2485210330642
"CT_married_pct_2016",11.1798085233912
"CT_aboriginal_pct_abschange",11.1774868181568
"bar_lounge25",10.8830429488467
"bar_lounge13",10.8744520952679
"bar_lounge20",10.844702224341
"CT_married_pct_2006",10.8355182474049
"weighted_diversity_13_slag",10.8215913321619
"liquor_store24",10.8116213042864
"food_retail05",10.6823910353589
"CT_bachelors_pct_trend_slag",10.3913527700325
"food_retail18",10.3649646075506
"CT_unemployment_rate_abschange",10.3582737226521
