"variable","importance"
"restaurant20",1076.55331362998
"weighted_diversity_16",1055.69570181286
"restaurant15",978.912155522089
"restaurant18",960.11065568225
"weighted_diversity_25",909.07373805793
"restaurant22",813.370737584515
"restaurant12",727.311090366274
"restaurant23",696.949895789508
"weighted_diversity_17",691.920876142008
"restaurant06",674.878911653908
"restaurant25",626.875715331148
"weighted_diversity_23",548.75850622848
"restaurant24",497.175049116218
"weighted_diversity_22",487.422076695809
"restaurant21",483.391542089798
"weighted_diversity_24",463.802947367476
"CT_apt_5plus_ln_2001_slag",430.020183180263
"restaurant17",423.965294892605
"restaurant03",408.838811760419
"restaurant13",378.679244779806
"restaurant19",345.66313051511
"restaurant05",331.606765764792
"bar_lounge09",330.060526120917
"weighted_diversity_21",321.177338254568
"weighted_diversity_18",305.768398544722
"bar_lounge07",300.177531265304
"restaurant07",283.781950904873
"bar_lounge02",276.299809674864
"restaurant14",269.952045767482
"restaurant16",258.921143250061
"restaurant11",224.515720757678
"weighted_diversity_11",222.605352550232
"bar_lounge06",214.088686589206
"weighted_diversity_10",202.54607633032
"restaurant02",196.557251591599
"weighted_diversity_15",195.87307303805
"weighted_diversity_19",194.110489089304
"CT_bachelors_pct_2006",192.452891536395
"restaurant01",187.813507338337
"CT_married_pct_2021_slag",187.562714920531
"CT_aboriginal_pct_cv_slag",185.552904221777
"fast_food25",177.319139132968
"weighted_diversity_09",171.796400440683
"restaurant08",163.89202210078
"weighted_diversity_14",160.387072478012
"restaurant10",157.726946061815
"CT_renters_pct_trend_slag",153.813849040497
"restaurant09",151.145031549136
"bar_lounge19",145.335550066612
"CT_apt_5plus_ln_2016",142.973920774192
"fast_food19",140.505237804497
"food_retail13",137.637846236435
"weighted_diversity_12",135.345260392995
"CT_movers_5yr_pct_2011",135.160205305233
"weighted_diversity_20",134.290945662209
"restaurant04",132.441391285264
"fast_food15",131.59862278637
"bar_lounge01",129.342764989286
"CT_aboriginal_pct_2006_slag",126.901454528373
"liquor_store15",123.298965197998
"bar_lounge05",113.943097526075
"dist_centre_slag",108.958612855257
"liquor_store14",106.589332812108
"CT_movers_1yr_pct_2006",104.691262804788
"CT_renters_pct_2021",103.588611441379
"food_retail24",101.334888628252
"food_retail16",100.070416573071
"CT_avg_dwelling_ln_2001",98.1554894693578
"fast_food05_slag",96.8669046294986
"bar_lounge13",95.9386676696265
"bar_lounge04",95.3946132504529
"CT_married_pct_abschange_slag",94.6902947527813
"weighted_diversity_17_slag",94.6664141316362
"CT_aboriginal_pct_2001",94.4706893104172
"bar_lounge03",94.3903400782675
"fast_food18",93.4296195629729
"food_retail07_slag",92.1261730057992
"fast_food22_slag",89.3107631471238
"CT_married_pct_trend_slag",89.0760587640824
"liquor_store25",88.9629878020356
"weighted_diversity_07",87.9798708073675
"bar_lounge14",87.418689886459
"fast_food01",86.4239275740194
"cannabis24",85.4207273517675
"fast_food20",85.3599167924077
"food_retail15",83.2471725057594
"food_retail21",82.5848549668935
"food_retail24_slag",82.1075971760928
"bar_lounge11",78.2546737928364
"CT_med_income_ln_2021_slag",77.9863988272131
"bar_lounge16",77.6773824231688
"bar_lounge18",76.9984069381261
"CT_renters_pct_2006",75.3673408247344
"bar_lounge08",74.2534232787983
"CT_aboriginal_pct_2016_slag",73.7120481640018
"weighted_diversity_18_slag",73.5112633221019
"CT_unemployment_rate_abschange_slag",73.5000399739443
"bar_lounge20",72.5752773241084
"CT_shelter_pct_2011",72.1376946971722
"weighted_diversity_04",69.5929602805376
"CT_avg_dwelling_ln_2006_slag",68.9284240399191
"fast_food14",68.3607117204276
"diversity_17_slag",68.2593636353744
"restaurant20_slag",68.0534268178769
"CT_movers_5yr_pct_2011_slag",67.2016726495864
"food_retail23_slag",66.6919915213918
"restaurant22_slag",66.691336973665
"fast_food07",65.8218953862416
"CT_vismin_pct_2011_slag",65.2785711645436
"restaurant19_slag",65.2648459270637
"fast_food23",65.094342196959
"food_retail05",64.7911232943297
"weighted_diversity_08",63.9788891191041
"CT_shelter_pct_2006",62.7004253466714
"fast_food16",62.222111186673
"bar_lounge15",62.1303551642312
"food_retail10",62.0833408404426
"bar_lounge25",60.7594155143274
"bar_lounge23_slag",60.3623611425148
"fast_food25_slag",60.2052739032293
"CT_unemployment_rate_2006_slag",59.9154411042064
"fast_food02",59.7234742706666
"CT_apt_5plus_ln_2021",58.3328199635478
"fast_food10_slag",58.0184202741436
"bar_lounge22",57.7172155656428
"CT_married_pct_2006",57.121442570016
