"variable","importance"
"Mischief_2024",137.9961764071
"Mischief_2017",129.750309475654
"Mischief_2015",129.311227914892
"Mischief_2023",127.943162041907
"Mischief_2020",126.828004405182
"Mischief_2021",126.312536584066
"Mischief_2019",110.317717083971
"Mischief_2018",107.568958637253
"Mischief_2016",100.79969054648
"Mischief_2022",96.9864370695319
"Mischief_2014",91.8949160480092
"Mischief_2011",64.7030862240513
"Mischief_2012",55.0178923196872
"Mischief_2013",49.4989963958061
"Mischief_2009",45.8842959615409
"Mischief_2010",37.4455476343291
"Mischief_2007",36.7155288444446
"CT_unemployment_rate_abschange_slag",34.9102979212278
"Mischief_2006",34.6829496707702
"CT_unemployment_rate_trend_slag",30.2553508257213
"CT_unemployment_rate_2001_slag",21.62403135509
"CT_med_income_ln_2001",19.9933348416008
"Mischief_2008",19.6493362648242
"CT_movers_1yr_pct_2006",19.5609171291561
"food_retail07_slag",19.4085331580721
"food_retail13_slag",17.6852782134263
"food_retail16_slag",16.2214568444699
"food_retail06_slag",16.0444668336748
"Mischief_2004",16.0305752988819
"food_retail15_slag",15.9844489770917
"food_retail10_slag",15.9198785126631
"Mischief_2003",15.5976269630187
"CT_shelter_pct_abschange",15.0793884002193
"bar_lounge10",15.0053010466601
"food_retail11_slag",14.9681801169718
"CT_shelter_pct_trend_slag",14.8540490844564
"CT_married_pct_2006_slag",14.3264551654346
"food_retail21_slag",13.9938231319074
"food_retail05_slag",13.8455434206569
"bar_lounge15",13.6736223149012
"Mischief_2005",13.4003982827757
"food_retail19_slag",13.3802862696485
"food_retail02_slag",13.3282627442794
"food_retail07",13.1691652535703
"food_retail14",13.062463676096
"CT_married_pct_2016_slag",12.9961307671751
"CT_married_pct_2006",12.8717950186599
"food_retail24_slag",12.6998594925156
"bar_lounge17",12.646594749638
"CT_renters_pct_abschange_slag",12.6451347796793
"food_retail25_slag",12.4091876696322
"CT_married_pct_2021",12.2523019797858
"food_retail18_slag",11.6670279730314
"CT_married_pct_2021_slag",11.4952068347162
"food_retail01_slag",11.3137419075935
"food_retail17_slag",11.2260420904145
"food_retail22_slag",10.6161506771733
"CT_married_pct_2016",9.96865120972644
"bar_lounge23",9.81122671547348
"food_retail23_slag",9.65793503294761
"CT_avg_dwelling_ln_2006",9.48141779634371
"restaurant14_slag",9.3566616880514
"weighted_diversity_16_slag",9.080256366977
"food_retail23",8.94220516590895
"bar_lounge14_slag",8.76497345700027
"food_retail04_slag",8.68718305346692
"CT_males_young_pct_abschange_slag",8.61708889213894
"CT_aboriginal_pct_abschange",8.60713753014337
"food_retail22",8.56511154938039
"restaurant11",8.27836511352983
"CT_recent_immig_pct_abschange_slag",8.09041583905567
"liquor_store25",7.96380065258755
"CT_movers_1yr_pct_2001_slag",7.93561275399491
"CT_shelter_pct_abschange_slag",7.83017626844131
"food_retail25",7.81103657296444
"bar_lounge24",7.76852085405337
"food_retail14_slag",7.60341018663058
"bar_lounge11",7.57532084094643
"dist_centre_slag",7.42241045445695
