"variable","importance"
"Theft_2024",2186.26185094083
"Theft_2022",1852.16541625438
"Theft_2023",1764.87581496727
"Theft_2021",1617.10227800826
"Theft_2009",1548.85790500653
"Theft_2018",1370.63852797747
"Theft_2016",1366.09985860727
"Theft_2017",1197.91119244179
"Theft_2015",1130.0384576966
"Theft_2019",1111.99545236389
"Theft_2020",961.776642123946
"Theft_2012",944.543230723417
"Theft_2010",925.909728851489
"Theft_2014",856.910003111672
"Theft_2005",754.626047237908
"Theft_2008",737.121251115753
"Theft_2011",675.688355531396
"Theft_2006",653.861285021092
"weighted_diversity_16",634.609117562878
"Theft_2007",551.814679188105
"Theft_2003",520.860454879539
"Theft_2013",473.821229581441
"Theft_2004",441.075697411427
"weighted_diversity_25",377.117314168806
"weighted_diversity_17",361.810668584724
"restaurant01",345.334565901315
"restaurant20",337.288903083037
"restaurant24",328.120368443792
"restaurant19",306.657793353166
"weighted_diversity_10",244.68582234238
"restaurant15",233.351676338252
"weighted_diversity_23",214.946880488496
"weighted_diversity_24",208.637648257829
"restaurant22",205.362984236138
"restaurant06",190.267341662966
"weighted_diversity_09",185.244563414608
"restaurant17",181.467329285612
"restaurant16",151.018473962985
"weighted_diversity_21",144.366046949742
"bar_lounge08",132.231969961583
"CT_shelter_pct_2001_slag",125.140632530499
"restaurant03",124.012294612197
"weighted_diversity_22",122.177333612388
"bar_lounge23",120.933618988509
"restaurant14",116.852146372819
"bar_lounge03",113.310061024395
"weighted_diversity_14",112.758412033692
"restaurant10",111.057394223184
"restaurant21",107.23535836218
"weighted_diversity_19",106.294413105167
"weighted_diversity_18",105.921174615381
"CT_shelter_pct_2011",95.6090373840446
"restaurant13",95.5397823966158
"bar_lounge04",92.7128200034503
"diversity_09_slag",91.9334660159341
"restaurant07",90.9515606058841
"bar_lounge05",88.9412492548609
"CT_males_young_pct_abschange",88.5060561094704
"restaurant09",86.4653244210985
"bar_lounge11",84.5300347461907
"liquor_store21",83.9384842084886
"weighted_diversity_19_slag",82.3058286348313
"restaurant23",82.1651296971819
"bar_lounge18",80.0140113678186
"CT_males_young_pct_2021_slag",74.7908267902855
"fast_food16",74.0235568965732
"CT_aboriginal_pct_2016_slag",72.5508141090693
"restaurant05",71.8536011663961
"weighted_diversity_15",70.6533344789678
"restaurant25",69.7963293639009
"fast_food12",69.2325797738171
"CT_married_pct_trend_slag",67.2725220372905
"CT_movers_1yr_pct_2006_slag",65.2040278726042
"weighted_diversity_03",64.5490652380169
"fast_food19",62.7102944397845
"bar_lounge02",61.8601934701512
"CT_aboriginal_pct_cv",60.2998160193155
"bar_lounge20",60.2189566615969
"CT_renters_pct_2021_slag",58.580457797259
"CT_males_young_pct_2021",57.4025224137443
"CT_movers_1yr_pct_2016",57.2842798629677
"weighted_diversity_12_slag",55.5299736579081
"CT_movers_1yr_pct_2001_slag",55.2380534951351
"CT_renters_pct_abschange_slag",53.4598667699111
"bar_lounge13",53.4226866678906
"CT_movers_1yr_pct_2016_slag",53.2275082983281
