"variable","importance"
"restaurant22",608.938251334332
"restaurant23",538.317539861533
"restaurant19",517.010712825323
"restaurant21",455.947103705969
"restaurant18",429.120988559832
"restaurant15",401.581113831406
"restaurant16",396.083646286402
"restaurant20",367.045131875542
"restaurant17",357.701563045096
"restaurant24",274.94651648473
"restaurant13",259.235054132423
"restaurant03",235.259445114536
"restaurant25",232.755522604308
"restaurant14",227.063315606907
"restaurant12",205.430544562353
"restaurant11",190.864165657055
"diversity_24",174.994567317824
"restaurant05",160.60606215539
"restaurant10",148.679163742137
"fast_food25",142.58364395654
"weighted_diversity_18",137.150808497384
"restaurant06",126.809569728371
"food_retail24",119.367862494476
"diversity_18",116.80169233099
"bar_lounge07_slag",109.789098694414
"DA_renters_pct_2006",106.383203838292
"restaurant07",104.611635555729
"bar_lounge03_slag",102.225663247338
"fast_food21",100.589499465807
"bar_lounge04_slag",93.0890565886331
"weighted_diversity_16",84.3888436232115
"food_retail01_slag",81.1387650380577
"food_retail07_slag",80.1814217629469
"weighted_diversity_19",78.4102380162725
"restaurant20_slag",77.7792879271996
"restaurant08",77.375064073358
"weighted_diversity_21",76.8637638078787
"restaurant09",76.8137216657123
"food_retail23",73.0795525981656
"weighted_diversity_23",72.4223657159696
"diversity_17",66.7622368719903
"diversity_19",65.2658289980459
"weighted_diversity_17",63.2473456094277
"weighted_diversity_11",62.0211814512155
"bar_lounge08_slag",61.8209496295684
"diversity_12",61.7746481196467
"weighted_diversity_20",61.0060485395841
"restaurant24_slag",60.5176039997105
"fast_food23",60.4808660931664
"fast_food10_slag",59.8256042283823
"restaurant04",59.0227620713553
"fast_food16_slag",57.8073210602054
"diversity_08",57.6687823127078
"weighted_diversity_25",57.112555950782
"bar_lounge07",56.7098861951118
"food_retail18",54.3384423971393
"fast_food04_slag",53.3292943335847
"bar_lounge02_slag",51.198794786962
"diversity_21",51.0872114670567
"bar_lounge02",49.7802156583817
"weighted_diversity_22",49.6953200570995
"DA_vismin_pct_2001_slag",49.1119468740055
"food_retail05_slag",48.468574857294
"DA_shelter_pct_cv",48.1160224554837
"bar_lounge08",47.6006216984407
"fast_food13_slag",46.6051957341865
"diversity_23",46.1612868706183
"diversity_05",45.7890381414134
"bar_lounge05_slag",44.8558103493661
"weighted_diversity_09",43.995941138723
"diversity_06",42.9202498261405
"diversity_07",42.8451380826157
"fast_food05",42.322859651818
"weighted_diversity_15",41.6877491811371
"diversity_13",41.3797866003535
"food_retail10_slag",40.6722945776005
"fast_food13",40.0825167702196
"fast_food07_slag",39.7356196922598
"weighted_diversity_10",39.7196745995854
"food_retail08_slag",39.6763994096507
"weighted_diversity_24",39.559909338487
"bar_lounge01_slag",39.4019963292949
"DA_movers_5yr_pct_2011",39.036073622141
"diversity_22",36.3392193713075
"fast_food16",36.3129820970926
"weighted_diversity_23_slag",35.7890868774561
"food_retail19",35.6392041434281
"DA_movers_1yr_pct_2011_slag",34.4999426923555
"food_retail14",33.9999329014492
"bar_lounge01",33.6736242493205
"fast_food24",33.1580825211809
"fast_food07",32.8583351633144
"restaurant02",32.4569749562528
"DA_males_young_pct_2021",32.216233176462
"restaurant18_slag",31.989119410981
"diversity_16",31.0699894200646
"fast_food15",31.0486344713583
"diversity_20",30.6252360404724
"diversity_11",30.6176850066354
"restaurant01_slag",30.214518595905
"eigenvector_norm",29.9702372813453
"diversity_10",29.0259550123481
"food_retail02_slag",28.6472571783052
"DA_vismin_pct_cv",28.5114316956416
"DA_vismin_pct_2006",28.2986480002125
"eigenvector_norm_slag",28.0182268318091
"restaurant04_slag",27.9062571120481
"fast_food22_slag",27.4904502148102
"fast_food22",27.1589153974121
"fast_food06_slag",27.0246131590483
"food_retail20",26.9316280873013
"dist_centre",26.6152187326463
