"variable","importance"
"Theft_2024",276.165662636112
"Theft_2020",243.646088822048
"Theft_2018",233.654515795171
"Theft_2023",231.715332733792
"Theft_2019",199.491625621266
"Theft_2016",198.370787446446
"restaurant15",194.318318055585
"restaurant24",189.897764492159
"Theft_2021",188.921516586833
"Theft_2022",184.0078379424
"Theft_2010",175.070248833598
"Theft_2011",164.797120276274
"Theft_2008",164.324556092225
"Theft_2014",156.975279714453
"restaurant16",154.720242112788
"Theft_2017",151.906354243515
"Theft_2015",149.055494340377
"restaurant22",145.392881512507
"Theft_2006",139.766760879571
"Theft_2009",136.25625825409
"Theft_2013",127.601043777855
"Theft_2007",126.759331803262
"Theft_2004",120.853804257561
"Theft_2012",113.676919084769
"Theft_2003",113.250507016
"restaurant12",110.953914662722
"Theft_2005",104.28900543869
"restaurant17",93.0564683076283
"restaurant13",87.8864564369085
"restaurant07",85.1054198093797
"restaurant19",84.4167630747712
"restaurant25",74.2781411361636
"restaurant04",55.3118962825895
"restaurant21",53.7476112746649
"restaurant23",52.2625509562025
"restaurant10",50.8398904995152
"restaurant20",47.666631572261
"restaurant14",47.160110420927
"DA_vismin_pct_2006",40.1842048786885
"bar_lounge08",36.8869637023751
"restaurant06",33.5011907712137
"restaurant18",32.4649818667862
"weighted_diversity_24",31.4185713572802
"fast_food25",30.0892142456406
"fast_food06_slag",29.4089909324251
"bar_lounge07_slag",28.8849511212108
"food_retail17_slag",27.7597032890304
"fast_food05",27.3184943937247
"restaurant04_slag",27.0728553605191
"DA_shelter_pct_2006_slag",24.9541072510925
"DA_renters_pct_2001_slag",24.354749308528
"food_retail02_slag",24.2084205453381
"DA_renters_pct_2011_slag",22.9779870216898
"food_retail04_slag",22.6249373370197
"fast_food20_slag",22.1605219582788
"fast_food14",22.1410635042008
"food_retail24",22.1407138558854
"restaurant08",21.8341006942411
"restaurant03_slag",21.4338273558395
"fast_food09_slag",20.8831536165778
"fast_food25_slag",20.2377365870996
"restaurant24_slag",20.1264523433944
"bar_lounge02",19.581146312269
"DA_movers_1yr_pct_2001_slag",19.4063304960753
"fast_food24_slag",17.9951144847536
"restaurant11_slag",17.9266780128867
"fast_food23_slag",17.7292708989881
"fast_food21",17.2569102227662
"bar_lounge10",17.1495272962061
"DA_males_young_pct_2021_slag",16.9360088231936
"bar_lounge07",16.3721979210659
"weighted_diversity_25",16.0086569970325
"food_retail07_slag",15.8248386845948
"food_retail06_slag",15.7196957628283
