"variable","importance"
"diversity_21",90.7422025786497
"diversity_17",69.0997441028699
"weighted_diversity_21",68.497140137165
"diversity_23",67.6789887034469
"diversity_24",64.8131472325936
"diversity_25",64.5915835970672
"weighted_diversity_19",63.0243350121418
"diversity_20",60.7062629956806
"diversity_19",58.8713798001463
"weighted_diversity_23",53.1522102531774
"weighted_diversity_25",52.1973117456073
"diversity_15",46.9058376272769
"weighted_diversity_17",45.8651141736716
"CT_shelter_pct_2006",45.0516159730801
"diversity_11",44.5385990409783
"diversity_10",40.9506794817073
"weighted_diversity_11",38.696557866346
"diversity_09",35.3884160389603
"CT_renters_pct_2006",33.9865622518061
"diversity_06",29.871756296302
"weighted_diversity_20",29.4323982115593
"diversity_05",28.8137689302126
"weighted_diversity_09",27.1575716196235
"weighted_diversity_24",24.1435459154986
"weighted_diversity_10",22.83281746982
"diversity_04",20.6611681929868
"diversity_03",20.5205473637688
"diversity_18",19.8246305468404
"weighted_diversity_22",18.8105305376377
"CT_renters_pct_2011",18.175866691846
"weighted_diversity_15",18.0514127080528
"diversity_22",16.7394455114288
"CT_movers_5yr_pct_2021",14.678177877222
"diversity_07",14.0239112879458
"diversity_13",13.4806471825685
"weighted_diversity_16",13.2153768080667
"weighted_diversity_12",12.6661837903268
"diversity_08",12.4554910734103
"diversity_14",10.5701448371519
"CT_renters_pct_2001",10.317429438379
"DA_shelter_pct_cv",9.83944932082944
"CT_movers_5yr_pct_2011",9.20691925925545
"weighted_diversity_04",8.53613652181037
"weighted_diversity_06",8.42674922157803
"CT_shelter_pct_2021",8.3777037156128
"CT_vismin_pct_2021",8.20785578913893
"weighted_diversity_18",8.15779855311187
"CT_renters_pct_2016",7.82682815946455
"CT_movers_1yr_pct_2001",7.7752304018489
"diversity_16",7.71612507461421
"weighted_diversity_05",7.70801836072072
"weighted_diversity_14",7.13956572377558
"CT_vismin_pct_2011",6.77428281954185
"CT_lone_parent_ln_2006_slag",6.63555815664875
"CT_movers_1yr_pct_2001_slag",6.35154172626312
"weighted_diversity_03",6.26709856943557
"CT_movers_5yr_pct_2006_slag",6.25839443353964
"CT_shelter_pct_2011",6.05598607878642
"CT_movers_5yr_pct_2016",5.97983584738746
"weighted_diversity_13",5.90622832444434
"CT_movers_1yr_pct_2006_slag",5.90536183590793
"DA_males_young_pct_2006_slag",5.56954002503361
"weighted_diversity_08",5.5067421569631
"CT_males_young_pct_trend",4.65181550465127
"CT_movers_5yr_pct_2001_slag",4.49789009203136
"CT_movers_5yr_pct_2001",4.48168423799016
"DA_shelter_pct_2006_slag",4.42899157617519
"CT_bachelors_pct_2021_slag",4.23017785149903
"DA_vismin_pct_2021",4.1286833215843
"CT_movers_5yr_pct_2021_slag",4.04259598699648
"CT_males_young_pct_2016_slag",3.91153988834725
"weighted_diversity_07",3.85213177647844
"CT_males_young_pct_2021",3.66187331245549
"DA_males_young_pct_2021",3.64870829785246
"CT_renters_pct_2006_slag",3.28728238633509
"DA_vismin_pct_2016",3.12415562374114
"CT_bachelors_pct_2016_slag",3.09130172471039
"CT_bachelors_pct_2011_slag",3.06385975324717
"DA_vismin_pct_cv",2.89998361785322
"DA_shelter_pct_2016_slag",2.76717926610822
"DA_shelter_pct_2001_slag",2.4749360212173
"DA_shelter_pct_2011",2.39127184021652
"CT_movers_1yr_pct_2006",2.355142890586
"CT_shelter_pct_2011_slag",2.32504492857853
"CT_lone_parent_ln_2016_slag",2.24930210568513
"CT_aboriginal_pct_2016",2.23540230073161
"CT_movers_1yr_pct_2011_slag",2.10182702001256
"eigen_edge",2.05214239413812
"diversity_12",1.94768531337915
"DA_shelter_pct_2021_slag",1.94576790168895
"DA_males_young_pct_2021_slag",1.87321822099973
"DA_movers_1yr_pct_2001_slag",1.81506212517614
"DA_vismin_pct_2021_slag",1.78247929184246
"DA_vismin_pct_2006_slag",1.7751145376874
"CT_movers_5yr_pct_2011_slag",1.70273766464735
"CT_movers_1yr_pct_2016_slag",1.64207436498876
"DA_movers_5yr_pct_2006_slag",1.61847124331201
"DA_movers_5yr_pct_2001",1.56261334517802
"CT_shelter_pct_2001",1.51804598379829
"DA_renters_pct_2011",1.4919113557354
"DA_movers_5yr_pct_2011",1.4349398524227
"CT_apt_5plus_ln_2016_slag",1.42817923969853
"DA_vismin_pct_2001_slag",1.39359983016569
"DA_married_pct_2001_slag",1.17969023749012
"CT_movers_1yr_pct_2021_slag",1.15675903430779
"CT_lone_parent_ln_2021_slag",1.1275847278075
"CT_males_young_pct_abschange",1.09421865630475
