"variable","importance"
"diversity_09",16.4088208095411
"diversity_15",12.3793699841135
"Theft_2024",11.8930062595591
"weighted_diversity_09",10.3450747306209
"weighted_diversity_15",9.4949915441045
"Theft_2013",8.8705772049945
"diversity_21",8.7648791649403
"Theft_2014",8.65843955452889
"Theft_2021",8.59426063920789
"Theft_2015",8.3873137056024
"Theft_2022",7.86278314905891
"Theft_2023",7.77287262683141
"diversity_08",7.54346359217256
"Theft_2016",7.51449087648651
"Theft_2005",7.36113474454336
"Theft_2004",7.31439732711329
"weighted_diversity_23",6.92726927163561
"Theft_2010",6.90726099521509
"CT_renters_pct_2006",6.81930840342783
"Theft_2018",6.46922244412244
"weighted_diversity_21",6.38136704239709
"Theft_2019",6.30112620040495
"Theft_2017",5.97899361987152
"Theft_2020",5.83341546957396
"Theft_2008",5.81736884176128
"Theft_2006",5.13679991552199
"weighted_diversity_24",5.03125658937965
"Theft_2003",5.01748330186673
"weighted_diversity_25",4.88296126015305
"Theft_2011",4.82740024728373
"Theft_2009",3.70907139215963
"diversity_25",3.57751784784698
"Theft_2012",3.5478448745741
"Theft_2007",3.53969876571467
"weighted_diversity_16",3.45553474197227
"weighted_diversity_19",3.24435710783607
"diversity_13",2.93701372886263
"diversity_24",2.65502714891259
"diversity_10",2.58822022824445
"diversity_23",2.5756901312899
"CT_bachelors_pct_2016_slag",2.50888182850199
"weighted_diversity_20",2.45633923961589
"CT_movers_5yr_pct_2001",2.25768562324044
"DA_shelter_pct_2006_slag",2.24945203286822
"CT_renters_pct_2006_slag",2.19124730485626
"CT_movers_5yr_pct_2006_slag",2.09104304071906
"diversity_17",2.07247532322338
"weighted_diversity_22",1.82539909512795
"diversity_05",1.80279596310532
"diversity_06",1.77938571958813
"diversity_14",1.7194954926185
"CT_shelter_pct_2006",1.60249406277935
"diversity_04",1.56583434932989
"weighted_diversity_04",1.52097929542917
"DA_males_young_pct_2021_slag",1.38244912759935
"CT_shelter_pct_2021",1.38074311166769
"diversity_07",1.37887123388577
"CT_aboriginal_pct_2021",1.34800184315096
"weighted_diversity_08",1.23676271715333
"diversity_03",1.22635416040991
"CT_lone_parent_ln_2006_slag",1.17202229751216
"weighted_diversity_13",1.15956403802301
"CT_shelter_pct_2021_slag",1.1392252414092
"DA_avg_dwelling_ln_2016_slag",1.12522534737855
"diversity_16",1.10623808536074
"CT_shelter_pct_2001",1.08845080637832
"CT_movers_5yr_pct_2006",1.0826307192566
"DA_movers_5yr_pct_2006_slag",1.00507788904638
"CT_movers_1yr_pct_2016_slag",1.00090568846757
"diversity_22",0.964411112577876
"DA_renters_pct_2006_slag",0.915743266055911
"weighted_diversity_10",0.877491829015755
"DA_vismin_pct_cv",0.869785130207918
"CT_movers_5yr_pct_2021",0.845294921421711
"eigen_edge",0.810515931593281
"CT_males_young_pct_2021",0.76777766499757
"DA_renters_pct_2011_slag",0.752112488903799
"CT_males_young_pct_abschange",0.732552560506607
"weighted_diversity_17",0.713678546567956
"DA_shelter_pct_2001_slag",0.709210046771607
"DA_shelter_pct_2011",0.706402287191412
"DA_apt_5plus_ln_2021",0.701264014155072
"CT_apt_5plus_ln_2016_slag",0.699371214083028
"CT_married_pct_2006",0.678880408008142
"CT_movers_5yr_pct_2011_slag",0.674857429498064
"DA_males_young_pct_2021",0.667963347571838
"DA_unemployment_rate_cv",0.649852946575102
"DA_renters_pct_2001_slag",0.62930859764122
"CT_shelter_pct_cv",0.609615516050533
"diversity_12",0.60816104893161
"CT_shelter_pct_2011",0.604558789989087
